"club","in_degree","out_degree","in_strength","out_strength","betweenness","in_coreness","out_coreness","country_now","season_now","p_mid","rk_mid","g_diff_mid","pts_mid","p_final","rk_final","g_diff_final","pts_final","country_before","season_before","p","rk","g_diff","pts"
"1. FC Köln",9,2,1725009,650002,678,1,1,"Germany",1993,17,8,2,19,34,11,-2,34,"Germany",1992,34,12,-10,28
"1.FC K'lautern",4,3,1525004,2850003,1040,1,1,"Germany",1993,17,5,12,21,34,2,28,43,"Germany",1992,34,8,10,35
"1.FC Nuremberg",8,4,2285008,309004,717,1,2,"Germany",1993,17,14,-7,13,34,16,-14,28,"Germany",1992,34,13,-17,28
"AC Le Havre",2,0,2,0,0,0,0,"France",1993,19,17,-8,15,38,17,-19,29,"France",1992,38,15,-11,33
"AC Milan",6,2,13440006,2,220,1,1,"Italy",1993,17,1,12,26,34,1,21,50,"Italy",1992,34,1,33,50
"AJ Auxerre",3,0,3,0,0,0,0,"France",1993,19,5,13,22,38,3,26,46,"France",1992,38,6,13,43
"Albacete",3,1,3,1,2,0,0,"Spain",1993,19,7,2,20,38,13,-9,35,"Spain",1992,38,17,-5,31
"Arsenal",2,1,1280002,1,2,0,0,"England",1993,21,5,7,34,42,4,25,71,"England",1992,42,10,2,56
"AS Roma",4,3,4,100003,59,0,1,"Italy",1993,17,10,0,17,34,7,5,35,"Italy",1992,34,10,3,33
"Aston Villa",6,0,4200006,0,0,1,0,"England",1993,21,9,1,31,42,10,-4,57,"England",1992,42,2,17,74
"Atalanta BC",2,5,2,5,250,0,1,"Italy",1993,17,15,-12,13,34,17,-30,21,"Italy",1992,34,8,-2,36
"Athletic",2,2,1200002,2300002,69,1,1,"Spain",1993,19,5,8,22,38,5,14,43,"Spain",1992,38,8,4,40
"Atlético Madrid",5,4,5400005,1170004,138,1,1,"Spain",1993,19,12,4,18,38,12,0,35,"Spain",1992,38,6,10,43
"Barcelona",4,5,8650004,5,182,0,1,"Spain",1993,19,2,20,26,38,1,49,56,"Spain",1992,38,1,53,58
"Bay. Leverkusen",5,1,2025005,800001,104,1,0,"Germany",1993,17,4,12,21,34,3,13,39,"Germany",1992,34,5,19,40
"Blackburn",5,1,8400005,188001,138,2,0,"England",1993,21,3,11,39,42,2,27,84,"England",1992,42,4,22,71
"Bor. Dortmund",4,2,6040004,2225002,511,0,1,"Germany",1993,17,9,1,18,34,4,4,39,"Germany",1992,34,4,18,41
"Bor. M'gladbach",4,0,800004,0,0,1,0,"Germany",1993,17,12,-4,15,34,10,6,35,"Germany",1992,34,9,0,35
"CA Osasuna",3,2,3,3000002,40,1,1,"Spain",1993,19,20,-18,11,38,20,-29,26,"Spain",1992,38,10,1,34
"Cagliari Calcio",3,0,2500003,0,0,0,0,"Italy",1993,17,12,-6,16,34,12,-9,32,"Italy",1992,34,6,12,37
"CD Logroñés",1,0,1,0,0,0,0,"Spain",1993,19,17,-6,15,38,16,-11,33,"Spain",1992,38,15,-16,33
"CD Tenerife",3,2,1650003,870002,72,1,0,"Spain",1993,19,14,-8,17,38,10,-7,36,"Spain",1992,38,5,12,44
"Celta de Vigo",6,0,2670006,0,0,1,0,"Spain",1993,19,16,-7,16,38,15,-10,33,"Spain",1992,38,11,-7,34
"Chelsea",9,10,3840009,6010010,1348,2,1,"England",1993,19,20,-10,15,42,14,-4,51,"England",1992,42,11,-3,56
"Coventry",8,2,905008,600002,313,1,1,"England",1993,21,15,-2,27,42,11,-2,56,"England",1992,42,15,-5,52
"Dep. La Coruña",3,0,1900003,0,0,1,0,"Spain",1993,19,1,21,29,38,2,36,56,"Spain",1992,38,3,34,54
"Dynamo Dresden",7,6,1194007,3575006,567,1,1,"Germany",1993,17,15,-9,16,34,13,-11,34,"Germany",1992,34,15,-17,27
